index,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,acres_unharvested,yield_tons_per_acre,price_per_ton,tons_never_harvested,tons_never_harvested_not_marketable,tons_never_harvested_inedible,tons_never_harvested_bad_weather,tons_never_harvested_pests_disease,tons_never_harvested_market_dynamics,tons_never_harvested_other
2337,2016,california,garlic,produce,garlic,30100.0,30100.0,333905000.0,225750.0,0.5,0.0,7.5,1479.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2338,2016,california,grapefruit,produce,grapefruit,9500.0,9500.0,67664000.0,152000.0,0.5,0.0,16.0,445.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2339,2016,florida,grapefruit,produce,grapefruit,37500.0,37500.0,136224000.0,459000.0,0.5,0.0,12.2,296.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2340,2016,texas,grapefruit,produce,grapefruit,17100.0,17100.0,50430000.0,192000.0,0.5,0.0,11.2,262.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2341,2016,california,grapes,produce,grapes,841000.0,841000.0,5620842000.0,6752000.0,0.5,0.0,8.0,832.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2342,2016,michigan,grapes,produce,grapes,12600.0,12600.0,29127000.0,93400.0,0.5,0.0,7.4,311.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2343,2016,missouri,grapes,produce,grapes,1700.0,1700.0,4978000.0,5330.0,0.5,0.0,3.1,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2344,2016,new york,grapes,produce,grapes,34000.0,34000.0,63700000.0,171000.0,0.5,0.0,5.0,372.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2345,2016,north carolina,grapes,produce,grapes,2300.0,2300.0,4386000.0,4900.0,0.5,0.0,2.1,895.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2346,2016,ohio,grapes,produce,grapes,1500.0,1500.0,3032000.0,5500.0,0.5,0.0,3.7,551.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2347,2016,oregon,grapes,produce,grapes,22000.0,22000.0,143380000.0,67000.0,0.5,0.0,3.0,2140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
