index,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity
3173,2019,,,,,2400.0,2300.0,21297000.0,27600.0,0.5
3174,2019,,,,,7300.0,7300.0,204460000.0,36850.0,0.5
3175,2019,,,,,5100.0,5100.0,62309000.0,12100.0,0.5
3176,2019,,,,,21700.0,21700.0,133058000.0,47950.0,0.5
3177,2019,,,,,19500.0,19500.0,26028000.0,27200.0,0.5
3178,2019,,,,,20600.0,20600.0,75258000.0,42450.0,0.5
3179,2019,,,,,9300.0,9300.0,85303000.0,23650.0,0.5
3180,2019,,,,,8700.0,8700.0,60811000.0,18100.0,0.5
3181,2019,,,,,13300.0,13300.0,134254000.0,77750.0,0.5
3182,2019,,,,,16700.0,16700.0,153224000.0,81500.0,0.5
3183,2019,,,,,11900.0,11900.0,86275000.0,74375.0,0.5
3184,2019,,,,,100000.0,99700.0,786354000.0,797600.0,0.5
3185,2019,,,,,14800.0,14500.0,212237000.0,297250.0,0.5
3186,2019,,,,,8500.0,8200.0,58394000.0,147600.0,0.5
3187,2019,,,,,5000.0,4800.0,30723000.0,96000.0,0.5
3188,2019,,,,,4600.0,4500.0,18684000.0,76500.0,0.5
3189,2019,,,,,12000.0,11700.0,82430000.0,222300.0,0.5
3190,2019,,,,,5300.0,5000.0,15598000.0,66250.0,0.5
3191,2019,,,,,14000.0,14000.0,80640000.0,157500.0,0.5
3192,2019,,,,,33000.0,32800.0,192700000.0,410000.0,0.5
3193,2019,,,,,2400.0,2300.0,8179000.0,24150.0,0.5
3194,2019,,,,,4100.0,4000.0,21868000.0,44000.0,0.5
3195,2019,,,,,70200.0,69900.0,827126000.0,2166900.0,0.5
3196,2019,,,,,6500.0,6400.0,29415000.0,243200.0,0.5
3197,2019,,,,,3600.0,3300.0,6977000.0,80025.0,0.5
3198,2019,,,,,6700.0,6700.0,99549000.0,56950.0,0.5
3199,2019,,,,,39000.0,38800.0,366330000.0,446200.0,0.5
3200,2019,,,,,28200.0,28100.0,474711000.0,786800.0,0.5
3201,2019,,,,,34000.0,34000.0,190983000.0,58100.0,0.5
3202,2019,,,,,25600.0,25600.0,22534000.0,85000.0,0.5
3203,2019,,,,,1600.0,1600.0,738000.0,2150.0,0.5
3204,2019,,,,,13000.0,13000.0,75221000.0,57200.0,0.5
3205,2019,,,,,3000.0,3000.0,6661000.0,27000.0,0.5
3206,2019,,,,,42300.0,42300.0,398457000.0,251300.0,0.5
3207,2019,,,,,1600.0,1600.0,934000.0,4550.0,0.5
3208,2019,,,,,1500.0,1500.0,13703000.0,19125.0,0.5
